item,role,mfr,pn,qty,buy_url,cad_url,stock_note,buy_vs_print,notes
box,Diecast Al enclosure,Hammond,1590Y,1,https://www.digikey.com/en/products/detail/hammond-manufacturing/1590Y/1090766,https://www.hammfg.com/files/parts/stp/1590Y.zip?v=1697661993,DigiKey HM955-ND; check live,buy,"92x92x42 mm; ~70x70 face for HD30 50.8 mm flange (6.40). Inner ~36.5 mm clears HD34-24 behind-panel (keep 1590Y)"
receptacle,HD30 flange receptacle 33P,TE Deutsch,HD34-24-33PE,1,https://www.te.com/en/product-HD34-24-33PE.html,https://www.te.com/en/product-HD34-24-33PE.html (STEP under CAD Files),Check TE / DigiKey live; do not substitute SN-suffix parts,buy,"Pins on box; E seal; shell 24 size-20"
plug,HD30 plug 33S,TE Deutsch,HD36-24-33SE,1,https://www.te.com/usa-en/product-HD36-24-33SE.html,,Check TE / DigiKey live; do not substitute SN-suffix parts,buy,"Sockets on harness so live 12V is shrouded"
pin_box,Size 20 solid pin,TE Deutsch,0460-202-2031,26,https://www.digikey.com/en/products/detail/te-connectivity-deutsch-ict-connectors/0460-202-2031/7200808,,DigiKey 1734-1901-ND; check live,buy,"Plus spares; 20 AWG"
socket_harness,Size 20 solid socket,TE Deutsch,0462-201-2031,26,https://www.digikey.com/en/products/detail/te-connectivity-deutsch-ict-connectors/0462-201-2031/7200804,,DigiKey 1734-0462-201-2031-ND; check live (often low),buy,"Plus spares; 20 AWG"
cavity_plug,Size 20 sealing plug,TE Deutsch,0413-204-2005,7,https://www.digikey.com/en/products/detail/te-connectivity-deutsch-ict-connectors/0413-204-2005/7387531,,DigiKey 1734-1839-ND; check live,buy,"Unused cavities 27-33 style count from 6.40"
standoff,Nylon PCB standoff M3,Keystone,25510,4,https://www.digikey.com/en/products/detail/keystone-electronics/25510/1532188,N/A,DigiKey 36-25510-ND; check live,buy,"M3 F-F hex ~10 mm nylon; CSB3 33x33x5 board floats"
screw_pcb,M3 nylon screw,Würth Elektronik,97790603111,4,https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/97790603111/10056387,N/A,DigiKey 732-13704-ND; check live,buy,M3×6 nylon pan
panel_nut,Panel nut size 24,TE Deutsch,112263-90,1,https://www.digikey.com/en/products/detail/te-connectivity-deutsch-ict-connectors/112263-90/6566683,,DigiKey 1734-1119-ND; check live,buy,jam nut for HD34
lockwasher,Lockwasher size 24,TE Deutsch,112264-ZZ,1,https://www.digikey.com/en/products/detail/te-connectivity-deutsch-ict-connectors/112264-ZZ/9923093,,DigiKey 1734-1940-ND; check live,buy,
