pn,description,qty_ordered,family,notes
0413-214-1205,"SEALING PLUG, SIZE 12, KEYING, YEL",10,HDP20 accessory,
0460-202-1631,"PIN, SOLID, SIZE 16, 16-20AWG, AU",130,HDP20 contact,two line items (80 + 50)
0460-204-0490,"PIN, SOLID, SIZE 4, 6AWG, NI",5,HDP20 contact,
0460-204-08141,"PIN, SOLID, SIZE 8, 8-10AWG, NI",5,HDP20 contact,
0460-215-1631,"PIN, SOLID, SIZE 16, 14AWG, AU",60,HDP20 contact,
0460-220-1231,"PIN, SOLID, SIZE 12, 12-14AWG, AU",20,HDP20 contact,
0462-201-1631,"SOC, SOLID, SIZE 16, 16-20AWG, AU",118,HDP20 contact,two line items (38 + 80)
0462-203-04141,"SOC, SOLID, SIZE 4, 6AWG, NI",9,HDP20 contact,
0462-203-08141,"SOC, SOLID, SIZE 8, 8-10AWG, NI",9,HDP20 contact,
0462-209-1631,"SOC, SOLID, SIZE 16, 14AWG, AU",51,HDP20 contact,
0462-210-1231,"SOC, SOLID, SIZE 12, 12-14AWG, AU",20,HDP20 contact,
0462-221-1631,"SOC, SOLID, SIZE 16, 16-20AWG, EXT, AU",25,HDP20 contact,extended barrel
5960-203-04141,"PIN, SOLID, SIZE 4, 4AWG, NI",5,HDP20 contact,
5962-203-04141,"SOC, SOLID, SIZE 4, 4AWG, NI",5,HDP20 contact,
114018-ZZ,"SEALING PLUG, SIZE 8, WHT",10,HDP20 accessory,
114019-ZZ,"SEALING PLUG, SIZE 4, WHT",10,HDP20 accessory,
HDP24-24-47PE-L017,"REC, 47P, BLK, E, RNG, 16/20, PIN",1,bulkhead A,firewall side in the current model
HDP24-24-47SE-L017,"REC, 47P, BLK, E, RNG, 16/20, SKT",1,bulkhead A,
HDP24-24-47PE,"REC, 47P, BLK, E, 16/20, PIN",1,bulkhead A,no ring flange
HDP26-24-47SE-L015,"PLG, 47P, BLK, E, THD, 16/20, SKT",1,bulkhead A,engine side in the current model
HDP26-24-47PE-L015,"PLG, 47P, BLK, E, THD, 16/20, PIN",1,bulkhead A,
HDP24-24-21PN,"REC, 21P, BLK, N, 12/16, PIN",1,bulkhead B,firewall side in the current model
HDP26-24-21SN,"PLG, 21P, BLK, N, 12/16, SKT",1,bulkhead B,engine side in the current model
YHDP26-24-21SEL024,"PLG, 21P, BLK, E, WTHD, 12/16, SKT",1,bulkhead B,E seal variant
HDP24-24-9PE,"REC, 9P, BLK, E, 4/8/12, PIN",2,heavy pass-through,unassigned
HDP26-24-9SE,"PLG, 9P, BLK, E, 4/8/12, SKT",2,heavy pass-through,unassigned
HDP24-18-6PN-C030,"REC, 6P, BLK, N, 4, PIN",1,heavy pass-through,unassigned
HDP26-18-6SN-C030,"PLG, 6P, BLK, N, 4, SKT",1,heavy pass-through,unassigned
HD34-24-21SN,"REC, 21P, AL, N, 12/16, SKT",1,HD30 flange,UNASSIGNED - weighed for the CSB3 box and not chosen (plan 6.41); still free
HD36-24-21PN,"PLG, 21P, AL, N, 12/16, PIN",1,HD30 flange,UNASSIGNED - mates the above; still free
16-04477,"GASKET, 24SZ, BLK, HD30",2,HD30 accessory,
2411-001-2405,PANEL NUT SIZE 24,2,HD30 accessory,
HD30-24BT-BK,"BOOT, 24SZ, ST, BLK",5,HD30 accessory,
