owner,channel,conn,pin,net,label,class,dir,type,pullup,shield,loom,status,source,notes
ECU,Inj 1,ecu_a,a4,INJ1,Injector cyl 1,signal,out,lowside-sat,none,,A,set,QSG-IO,1400cc hi-Z sequential
ECU,Inj 2,ecu_a,a3,INJ2,Injector cyl 2,signal,out,lowside-sat,none,,A,set,QSG-IO,1400cc hi-Z sequential
ECU,Inj 3,ecu_a,a2,INJ3,Injector cyl 3,signal,out,lowside-sat,none,,A,set,QSG-IO,1400cc hi-Z sequential
ECU,Inj 4,ecu_a,a1,INJ4,Injector cyl 4,signal,out,lowside-sat,none,,A,set,QSG-IO,1400cc hi-Z sequential
ECU,14V +,ecu_a,a5,P14V,Main ECU feed,power,in,rail-12v,none,,A,set,QSG-IO,0.75mm2; held by EFI main relay on Aux 6
ECU,+8V Out,ecu_a,a6,P8V,+8V sensor rail,rail,out,rail-8v,none,,A,set,QSG-IO,Cam Hall on Trigger 2 only
ECU,Shield/Gnd,ecu_a,a7,SHIELD_A,Loom A screen termination,screen,na,screen,none,,A,set,QSG-IO,DRAIN ONLY - no signal and no current may land here; do not bridge to SHIELD_B
ECU,Trigger 1,ecu_a,a8,TRIG1_CRANK,Crank VR,signal,in,vr,none,a7,A,set,QSG-IO,Toyota OEM reluctor on 36-2 wheel
ECU,Trigger 2,ecu_a,a9,TRIG2_CAM,Cam Hall,signal,in,hall-oc,ext-1k8-to-8v,a7,A,set,QSG-IO,RacerX/Cherry; fit 1k8 not the kit 2k4. Pull-up wiring colours (2026-09-25): 8V leg Orange/White (P8V rail), signal leg Blue (cam signal) - drawings match
ECU,Ign 1,ecu_a,a13,IGN1,COP cyl 1,signal,out,logic-5v,none,,A,set,QSG-IO,1ZZ COP built-in igniter
ECU,Ign 2,ecu_a,a12,IGN2,COP cyl 2,signal,out,logic-5v,none,,A,set,QSG-IO,1ZZ COP built-in igniter
