# Ignition advance [deg BTDC] — conservative, extra retard under boost
# Rows: MAP kPa | Cols: RPM
map_kpa,800,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,7000
20,18,22,24,26,28,28,28,28,28,28,28,28,28
30,16,20,22,24,26,26,26,26,26,26,26,26,26
40,14,18,20,22,24,24,24,24,24,24,24,24,24
50,12,16,18,20,22,22,22,22,22,22,22,22,22
60,10,14,16,18,20,20,20,20,20,20,20,20,20
70,8,12,14,16,18,18,18,18,18,18,18,18,18
80,6,10,12,14,16,16,16,16,16,16,16,16,16
90,4,8,10,12,14,14,14,14,14,14,14,14,14
100,2,6,8,10,12,12,12,12,12,12,12,12,12
120,0,4,6,8,10,10,10,10,10,10,10,10,10
150,-2,2,4,6,8,8,8,8,8,8,8,8,8
200,-4,0,2,4,6,6,6,6,6,6,6,6,6
