# VE E85 overlay [%] — ~8% richer vs ve_base at same cells (manual merge in PCLink)
# Use with Modelled Multi-Fuel blend axis
map_kpa,800,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,7000
20,49,52,54,56,58,59,60,61,62,62,62,62,62
30,54,59,62,64,66,67,68,69,70,70,70,70,70
40,59,66,69,72,74,76,77,78,79,79,79,79,79
50,62,72,76,79,82,84,86,87,88,88,88,88,88
60,64,76,80,84,87,90,92,93,94,94,94,94,94
70,66,79,84,88,91,94,96,97,98,98,98,98,98
80,68,82,87,92,95,98,100,101,102,102,102,102,102
90,69,84,89,94,97,100,102,103,104,104,104,104,104
100,70,86,91,96,99,102,104,106,107,107,107,107,107
120,72,88,94,100,102,104,106,108,109,109,109,109,109
150,74,90,96,102,104,106,108,110,111,111,111,111,111
200,76,92,98,104,106,108,110,112,113,113,113,113,113
